name_sg_fem,name_pl_fem,negverb,action,insult_fem,sport,reason_fem,intro,verb_pos_mas,adno_mas,activity_neg_fem ,activity_pos_mas,adj_fem,adj_mas,char_mas,activities_mas,name_sg_mas,name_pl_mas,insult_mas,reason_mas,verb_pos_fem,adno_fem,activity_pos_fem ,activity man,Template
woman,women,can't,think,shit,Soccer,its gross,I can't stand,drink,single,gossip,logic,emotional,strong,Strength,sport,Man,Men,shit,they aren't built for it,love,Nurses,cooking,making money,Personally I think {name_pl_fem} {negverb} {activity_pos_mas} because {reason_fem}
girl,girls,shouldn't,fuck,horrible,American Football,No need to explain why,I do hold the firm belief that ,wrestle,presidents,bitch,math,indecisive,manly,Manliness,coaching,Boy,boys,horrible,it's not in their genes,have empathy,Teachers,birth control,going to work,{name_pl_fem} just {negverb} {activity_pos_mas}
chick,chicks,aren't,be,crap,Baseball,It just doesn't sound right.,I can't deal with ,smoke,bosses,talk about fashion,driving,mediocre,logical,Logic,hunting,Guy,guys,crap,it's not manly,care for children,Secretaries,looking after kids,driving a car,I can't stand working in an office with {name_pl_fem} who {activity_neg_fem } the entire time
bitch,bitches,won't ever ,believe ,deceptive,Basketball,I'll argue that till the grave.,I just can't consider,ride horses,pilots,giggle,hunting,delicate,powerful,Power,leading,Gentleman,gentlemen,all pigs,it's degrading,cook,Librarians,decorating a house,owning a house,I do hold the firm belief that {name_pl_fem} {negverb} be allowed to {verb_pos_mas}. {reason_fem}
female,females,shouldn't be allowed to,,bitchy,Ice Hockey,it's not elegant,,ride motorbikes,construction workers,laugh,fishing,excitable,precise,Precision,driving,Fellow,fellows,unintuitive,it's a woman's job,multitask,Receptionists,vacuuming,gardening,I can't deal with woman {adno_mas}. {reason_fem}
lady,ladies,,,weak,Rugby,it's not ladylike,,drive,Blacksmiths,dress like sluts,debating,soft,impulsive,Impulsiveness,navigating,Lad,lads,impulsive,its gross,care for a family,Housekeepers,,,"I'm not saying {name_pl_fem} can't be {adno_mas}, it's the fact that they are incredibly more {insult_fem}"
uterus,lesbians,,,emotional,Boxing,they aren't built for it,,curse,Soldiers,dress provocatively,coding,tender,hot-blooded,Hot-bloodedness,fishing,Chap,chaps,hot-blooded,it's gay,look after themselves,Nannies,,,With any woman {adno_mas} I can't listen to or even think their information is credible
lesbian,lesbos,,,indecisive,tennis coaching,it's not in their genes,,swear,Firefighters,,science,fragile,wise,Wisdom,sailing a boat,Bloke,blokes,macho,it's for fags only,get emotional,Waitresses,,,"For a {name_sg_fem} that is good, they're usually too {insult_fem} to {verb_pos_mas}"
lesbo,sluts,,,mediocre,Golf,it's a man's job,,Box,Police Officers,,physics,warm,perceptive,Perception,mechanics,Dude,dudes,agressive,,keep their mouth shut,Seamstresses,,,This is exactly why {name_pl_fem} {negverb}  be {adno_mas}. Any career that requires {char_mas} is no place for {insult_fem}{name_pl_fem}.
slut,houswives,,,delicate,Tennis,tbh,,make art,Construction Workers,,management,understanding,clever,Cleverness,debating,husband,brothers,cocky,,Sew,Midwives,,,Sucking at {activity_pos_mas} is just a requirement for being a {name_sg_fem}
